pert_id	cmap_name
BRD-A52886023	antimycin-a
BRD-A97674275	ranolazine
BRD-K23586533	clindamycin
BRD-A06352418	terfenadine
BRD-K90333595	phentolamine
BRD-K02292852	cefoperazone
BRD-K06816133	BRD-K06816133
BRD-A37052580	physostigmine
BRD-K45542189	diethylcarbamazine
BRD-K57291914	moroxydine
BRD-K31682896	sulfamethizole
BRD-K35862502	pregnenolone
BRD-K46211610	tolazoline
BRD-K54416256	methimazole
BRD-K52436943	SR-144528
BRD-K01507359	rifampicin
BRD-K31041191	BG-1029
BRD-K23794511	BRD-K23794511
BRD-K85593835	BRD-K85593835
BRD-K45770447	artemisinin
BRD-K75466013	benzocaine
BRD-K77685957	dequalinium
BRD-A24228527	ofloxacin
BRD-K25701726	BRD-K25701726
BRD-A05729358	CPCCOEt
BRD-K29343434	BMS-906024
BRD-A13254067	okadaic-acid
BRD-K26171350	adrenosterone
BRD-K19525698	ozagrel
BRD-K72490684	BRD-K72490684
BRD-A14634327	GSK-126
BRD-K65146499	nabumetone
BRD-K54529596	captopril
BRD-K57179821	crotamiton
BRD-A89554862	BRD-A89554862
BRD-K41141507	BRD-K41141507
BRD-K97114030	BRD-K97114030
BRD-K48222931	BRD-K48222931
BRD-K83289131	CAY-10618
BRD-A60197193	amisulpride
BRD-K90574421	ipsapirone
BRD-A53952395	prilocaine
BRD-K11533227	BRD-K11533227
BRD-K87634564	BG-1030
BRD-K43797669	genistein
BRD-K20126873	BRD-K20126873
BRD-K41049123	BRD-K41049123
BRD-K72620090	BRD-K72620090
BRD-K12411950	BRD-K12411950
BRD-K55375480	monensin
BRD-K95785345	thiamine
BRD-K17953061	staurosporine
BRD-K45086103	sulfaguanidine
BRD-A28940325	trichlormethiazide
BRD-K70515009	estropipate
BRD-A36707673	BRD-A36707673
BRD-A68650781	epitiostanol
BRD-K87349682	BRD-K87349682
BRD-K55930204	phenytoin
BRD-K76810206	nicergoline
BRD-K67637637	olopatadine
BRD-K64117221	necrosulfonamide
BRD-K85339825	BRD-K85339825
BRD-K27452198	BRD-K27452198
BRD-M32778103	BRD-M32778103
BRD-K37688416	fipexide
BRD-A89585551	mefloquine
BRD-A75552914	isoxicam
BRD-K79145749	dibenzepin
BRD-K11640013	sulfadimidine
BRD-K19669037	GGTI-298
BRD-K96263742	GW-7647
BRD-K32301393	BRD-K32301393
BRD-K61102260	BRD-K61102260
BRD-K17554130	BRD-K17554130
BRD-K28143534	cyproheptadine
BRD-K53597484	TNP-470
BRD-K39096267	BRD-K39096267
BRD-K15014948	tranexamic-acid
BRD-K02867583	minaprine
BRD-A04327189	synephrine
BRD-A57905915	norcitalopram
GALR2_GALANIN	GALR2_GALANIN
BRD-K07781811	BRD-K07781811
BRD-K07265709	razoxane
BRD-K16554956	PTB1
BRD-K27853494	BRD-K27853494
BRD-K83257731	chloropyramine
BRD-K30577245	docetaxel
BRD-K82731415	olomoucine
BRD-A26112980	salsolinol
BRD-K33453211	levocabastine
BRD-K40831222	latamoxef
BRD-K86887724	dofetilide
BRD-A06426627	diclazuril
BRD-K73589401	BRD-K73589401
BRD-K37130656	rivaroxaban
BRD-K60637442	BRD-K60637442
BRD-K16782389	BRD-K16782389
BRD-A08187463	racecadotril
BRD-A17390249	BG-1015
BRD-K46531780	methyl-benzethonium
BRD-K44094313	mifepristone
BRD-K92310201	mometasone
BRD-K55034111	pefloxacin
BRD-K31374463	vecuronium
BRD-A50590638	BRD-A50590638
BRD-K38622866	BRD-K38622866
BRD-A80017228	bendroflumethiazide
BRD-K41298358	tetraethylenepentamine
BRD-K76775527	nimesulide
BRD-K73251053	clorgiline
LIVF001-003	AM-095
LIVF001-008	LIVF001-008
BRD-K47771675	BRD-K47771675
BRD-K83548510	BRD-K83548510
BRD-A10739734	efaroxan
BRD-A75726477	clenbuterol
BRD-K92073408	BRD-K92073408
BRD-K74339692	tamsulosin
BRD-K65426421	BRD-K65426421
BRD-K79734497	SA-1939936
BRD-K74913225	brinzolamide
BRD-K34157611	cimetidine
BRD-K93034159	cladribine
BRD-K29251608	BRD-K29251608
BRD-K16934333	BRD-K16934333
BRD-K94173644	zimelidine
BRD-A22740840	oxytetracycline
BRD-M61246020	fenoprofen
BRD-A95602221	celiprolol
BRD-K36927236	glibenclamide
BRD-K23933163	cloxacillin
BRD-K38159897	BRD-K38159897
BRD-K68143200	NSC-95397
BRD-K75843415	BRD-K75843415
BRD-M53001068	aminophylline
BRD-K80138901	BRD-K80138901
BRD-K48617017	dorzolamide
BRD-K25650355	physostigmine
BRD-K85802892	BRD-K85802892
BRD-A57107094	BRD-A57107094
BRD-K69122748	diacerein
BRD-K62996583	lidoflazine
BRD-K78113049	enoxacin
BRD-A38066207	BRD-A38066207
BRD-K30912208	KDM-096
BRD-K30267135	BRD-K30267135
BRD-K39504007	BRD-K39504007
BRD-A84045418	calpeptin
BRD-K59983611	sulfabenzamide
BRD-K99912150	rifampicin
BRD-K70504303	prednisolone
BRD-K52075715	oxibendazole
BRD-A41986761	BRD-A41986761
BRD-K26657438	imiquimod
BRD-K44410738	BRD-K44410738
BRD-K24023109	diltiazem
BRD-K43744935	tamoxifen
BRD-A66284731	fenipentol
BRD-K26739552	fenspiride
BRD-K17378184	BP-897
BRD-K54634444	artesunate
BRD-M30251550	penbutolol
BRD-A54490543	pirlindole
BRD-K97891829	gentamycin-sulfate
BRD-A48349196	BRD-A48349196
BRD-K23985857	BRD-K23985857
BRD-K15524596	BRD-K15524596
BRD-K40064462	BRD-K40064462
BRD-K43786866	opipramol
BRD-K42348709	cyclobenzaprine
BRD-K91263825	nortriptyline
BRD-K06980535	promazine
BRD-K02992638	lamivudine
BRD-K68538666	aceclofenac
BRD-K45627302	BRD-K45627302
BRD-M91737268	BRD-M91737268
BRD-K00540336	BRD-K00540336
BRD-K71498541	BRD-K71498541
BRD-K46435977	valaciclovir
BRD-K34469523	levalbuterol
BRD-K47071092	BRD-K47071092
BRD-A29854054	lorglumide
BRD-K23050218	BRD-K23050218
BRD-K30874624	K-252A
BRD-K92644009	alfacalcidol
BRD-K82326223	BRD-K82326223
BRD-A72351335	misoprostol
BRD-K10573841	tunicamycin
BRD-K50277523	BRD-K50277523
BRD-K82462389	BRD-K82462389
BRD-K12994359	valdecoxib
BRD-K28935038	loracarbef
BRD-K78689929	BG-1009
BRD-K37249724	astemizole
BRD-K73541271	etofenamate
BRD-K06557128	voriconazole
BRD-K19533706	tranilast
BRD-K05396879	BRD-K05396879
BRD-K90733503	cephalexin
BRD-K68432770	ampicillin
BRD-K80353807	khellin
BRD-M94527406	amantadine
BRD-K54978501	pivmecillinam
BRD-A73972952	BG-1010
BRD-K28649955	BRD-K28649955
BRD-K15402119	huperzine-a
BRD-K79062806	nicergoline
BRD-K09129322	BRD-K09129322
BRD-K63242551	cefadroxil
BRD-K27062708	chlorotrianisene
BRD-A42994615	BRD-A42994615
BRD-K79711234	thiamphenicol
BRD-K26634012	tilmicosin
BRD-A55756846	H-7
BRD-K99622919	butacaine
BRD-K84663978	trequinsin
BRD-K63158888	BRD-K63158888
BRD-U77755064	met-enkephalin
BRD-K65544384	aminohippuric-acid
BRD-A37390343	amorolfine
BRD-K98143437	SB-239063
BRD-K47598052	PP-1
BRD-A47441220	mevalonic-acid
BRD-K40438880	spermidine
BRD-M10279501	gentamicin
BRD-K59456551	methotrexate
BRD-A80502530	cinobufagin
BRD-K30207000	dexamethasone
LIVF001-014	pralidoxim
BRD-A07875874	cilnidipine
BRD-K19507340	megestrol-acetate
BRD-A83029311	butirosin
BRD-K07940445	quinine
BRD-K62983405	BRD-K62983405
BRD-K85883481	prednisone
BRD-K88560311	rucaparib
BRD-K98490050	amsacrine
BRD-K77317635	carbadox
BRD-K61236135	tiratricol
BRD-K13027675	BRD-K13027675
BRD-K95767742	BRD-K95767742
BRD-K63000292	BRD-K63000292
BRD-K94325918	kinetin-riboside
BRD-A24514565	warfarin
BRD-K49671696	ketanserin
BRD-A44008656	doxylamine
BRD-K87066636	BOX-5
BRD-K92960067	SMER-3
BRD-K11700078	amiprilose
BRD-K59256312	gabexate
BRD-K87210992	pancuronium
BRD-K40841951	BRD-K40841951
BRD-K91644281	kasugamycin
BRD-A47449001	ipratropium
BRD-K58262659	doxifluridine
BRD-A84174393	meloxicam
BRD-K64755930	etazolate
BRD-A20697603	thiostrepton
BRD-K11359987	BRD-K11359987
BRD-A21072306	merbromin
BRD-A42571354	cetirizine
BRD-K88043978	amikacin
BRD-K35559145	levomepromazine
BRD-A84228258	brefeldin-a
BRD-K36660044	bufexamac
BRD-K06898795	BRD-K06898795
BRD-A69777949	flumequine
BRD-K57432881	tiapride
BRD-K17894950	indirubin
BRD-K09329774	BRD-K09329774
BRD-A76229785	lymecycline
BRD-K73756878	phloridzin
BRD-A75455249	kavain
BRD-K78712176	carbidopa
BRD-A94793051	gestrinone
BRD-A09062839	amyleine
BRD-K70507123	doxofylline
BRD-K43631199	BRD-K43631199
BRD-K06902185	minoxidil
BRD-A75140635	salsolidine
LIVF001-010	pimasertib
LUC_ALARIN	LUC_ALARIN
BRD-K05831461	BRD-K05831461
BRD-K68132782	terbinafine
BRD-K01095011	finasteride
BRD-K05185389	risedronate
BRD-K13240564	crotamiton
BRD-A86044036	flurbiprofen
BRD-K62607865	aztreonam
BRD-K47832606	floxuridine
BRD-K35941380	methysergide
BRD-K37650321	BRD-K37650321
BRD-K02952507	BRD-K02952507
BRD-K11196887	norfloxacin
BRD-K52662033	lidocaine
BRD-A53576514	orphenadrine
BRD-K47535255	BRD-K47535255
BRD-K70980943	BRD-K70980943
BRD-K96006502	deflazacort
BRD-A68930007	ouabain
BRD-K07507905	BRL-37344
BRD-K63533170	AM-630
BRD-K75958195	pizotifen
BRD-K32681104	2-aminobenzenesulfonamide
BRD-K79947405	BRD-K79947405
BRD-K95763993	trapidil
BRD-K99447003	enalaprilat
BRD-A28545468	selegiline
BRD-K09824708	BRD-K09824708
BRD-K60460488	nelfinavir
BRD-K43807558	BRD-K43807558
BRD-K56792340	ethoxyquin
BRD-K02404261	caffeine
BRD-K63423329	BRD-K63423329
BRD-K59222562	BRD-K59222562
BRD-K19554809	MK-212
BRD-K76304753	phenazopyridine
BRD-K54168243	Z-36
BRD-A38161572	atovaquone
BRD-K28824103	genipin
BRD-K56343971	vemurafenib
BRD-K96659869	BRD-K96659869
BRD-A39390670	rabeprazole
BRD-A24191444	ifenprodil
BRD-K97688263	benzamil
BRD-K30114692	methenamine
BRD-A65440446	cimaterol
BRD-K50938287	sumatriptan
BRD-K12513978	fenbufen
BRD-K56334280	amonafide
BRD-K64857848	XMD-885
BRD-K75649340	tioguanine
BRD-A68888262	azelastine
BRD-K88682005	chlorothiazide
BRD-K71701252	BRD-K71701252
BRD-A65145453	ATPA
BRD-K92830582	BRD-K92830582
BRD-K81091703	BRD-K81091703
BRD-A26711594	nicardipine
BRD-K31460632	BRD-K31460632
BRD-K69260336	pivampicillin
BRD-K05619559	tobramycin
BRD-K93918653	quizartinib
BRD-A30205217	ethotoin
BRD-K46585355	acetylsalicylsalicylic-acid
BRD-A36217750	sulfinpyrazone
BRD-K43544024	oxandrolone
BRD-A09467419	mebeverine
BRD-K87124298	OSI-027
LIVF001-002	LIVF001-002
LIVF001-015	LIVF001-015
BRD-A60052764	flucloxacillin
BRD-K30240666	clemastine
BRD-M13639915	BRD-M13639915
BRD-A03623303	metoprolol
BRD-K90789829	nefazodone
BRD-A77118605	D-609
BRD-K08807999	NO-ASA
BRD-K39168746	androsterone
BRD-K59720958	finasteride
BRD-A73908300	EX-527
BRD-K19107160	tylosin
BRD-M41106164	oxantel
BRD-K91740057	felbinac
LUC_GALP	LUC_GALP
BRD-K53229386	hesperidin
LIVF001-012	LIVF001-012
BRD-K55242988	BRD-K55242988
BRD-K79759031	artesunate
BRD-K83794624	pirarubicin
BRD-K22261046	BRD-K22261046
BRD-K36116267	pyrithyldione
BRD-K22685337	roxarsone
BRD-K09471561	levofloxacin
BRD-A58937872	BRD-A58937872
BRD-K67506692	BRD-K67506692
BRD-K20332840	BRD-K20332840
BRD-K18674849	flunisolide
BRD-A61793559	metolazone
BRD-K81601344	rifapentine
BRD-M15413738	BRD-M15413738
BRD-K63899271	biotin
GALR3_GALANIN	GALR3_GALANIN
BRD-K40530731	hyoscyamine
BRD-K16444452	ibudilast
BRD-A90521842	mecamylamine-hcl
BRD-K99749624	linifanib
BRD-K06147391	telenzepine
BRD-A22305049	benfluorex
BRD-K47551852	BRD-K47551852
BRD-K14312455	tazobactam
BRD-K86465814	HO-013
BRD-K39330046	hyoscyamine
BRD-A71480800	abamectin
BRD-K79759585	sildenafil
BRD-K48970916	danazol
BRD-K51318897	fenbendazole
BRD-K00603606	ticlopidine
BRD-A50684349	fenoldopam
BRD-K39944607	ochratoxin-a
BRD-K55044200	amoxicillin
BRD-K33299843	naproxen
BRD-A39230911	chlorphensin
BRD-K57875380	asenapine
BRD-K72853990	bromocriptine
BRD-A62428732	hydroxyzine
BRD-A81472640	BRD-A81472640
BRD-A59337442	xamoterol
BRD-A61194565	benserazide
BRD-K49111258	prazosin
BRD-K37792492	dolasetron
BRD-K91938660	memantine
BRD-K47780086	penciclovir
BRD-K55106630	dienestrol
BRD-A27887842	prednisolone
BRD-M40783228	mesna
BRD-A57581879	myclobutanil
BRD-K65000194	BRD-K65000194
BRD-K34088084	naltrindole-hcl
BRD-K08205503	BRD-K08205503
BRD-K62370608	cilastatin
BRD-K80439608	BRD-K80439608
BRD-K19456237	piracetam
BRD-K61327230	pralidoxime
BRD-A29734509	disopyramide
BRD-A24421185	butylscopolammonium
BRD-K32403583	mevastatin
BRD-M18219129	guanethidine
BRD-K52172416	anastrozole
BRD-A34751532	homosalate
BRD-K53226837	cycloserine
BRD-A65280694	molindone
BRD-K10860596	granisetron
BRD-K80886639	butyrylcholine-cl
BRD-K90027355	spironolactone
BRD-K34776109	glimepiride
BRD-K05673000	dicloxacillin
BRD-K72676686	fluvoxamine
BRD-K18673820	folic-acid
FGFR3_GALANIN	FGFR3_GALANIN
BRD-K58513245	pamidronate
BRD-K94979336	IBMX
BRD-K12124649	BRD-K12124649
BRD-K81774264	flumethasone
BRD-K55155550	BRD-K55155550
BRD-K24576554	AT-9283
BRD-A15330900	BRD-A15330900
BRD-K84253429	zoledronic-acid
BRD-K72572686	strychnine-hcl
BRD-A64610707	pranoprofen
BRD-K96786677	oxacillin
BRD-K27756844	BG-1032
BRD-A22769835	homochlorcyclizine
BRD-A21329147	hemicholinium-3
BRD-K73196317	urapidil
BRD-A19195498	trimipramine
BRD-M82067008	bleomycin-sulfate
BRD-K08290224	docebenone
BRD-K22080587	BRD-K22080587
BRD-A61676498	climbazole
BRD-K32330832	VER-155008
BRD-U61360806	BRD-U61360806
BRD-K36616567	doxepin
BRD-K55890295	diaminoquinazoline
BRD-K20620780	BRD-K20620780
BRD-K15715913	fluperlapine
BRD-A44090213	indoprofen
BRD-K79501723	cyclizine
BRD-K52989797	clomipramine
BRD-K08356259	xylometazoline
BRD-K72083510	BRD-K72083510
BRD-K68185022	ursolic-acid
BRD-A41250306	cyclopenthiazide
BRD-K76018977	cefotaxime
BRD-K02680176	clofilium
LIVF001-025	LIVF001-025
BRD-K21915746	bromebric-acid
BRD-A22844106	tenoxicam
BRD-K73107279	levamisole
BRD-A52933579	BRD-A52933579
BRD-K99257182	quinine
BRD-A60217728	iohexol
BRD-K83064458	etofylline
BRD-K38310698	BRD-K38310698
LIVF001-023	LIVF001-023
BRD-K67261995	adipiodone
BRD-K93880783	stavudine
BRD-K94441233	mevastatin
BRD-K15607325	novobiocin-na
BRD-K21884483	mizolastine
BRD-K91289464	cefotetan
LIVF001-028	LIVF001-028
BRD-K35586044	yohimbine
BRD-K29627430	clavulanic-acid
BRD-A90695733	manidipine
BRD-A15010982	HU-211
BRD-A99633051	ethosuximide
BRD-K47804338	BRD-K47804338
BRD-K56429665	calcipotriol
BRD-A67060370	albendazole-oxide
BRD-K28137194	loreclezole
BRD-A26333730	BRD-A26333730
BRD-A08003242	rhodomyrtoxin-b
BRD-K71055333	etamsylate
BRD-A81866333	CGS-21680
BRD-A64933752	CV-1808
BRD-A34806832	proscillaridin
BRD-K13926615	vardenafil
BRD-K53318339	vinpocetine
BRD-K28687144	fosfosal
BRD-K20672254	pyrantel-pamoate
BRD-A39986918	BRD-A39986918
BRD-K67847053	guanabenz
BRD-A22684332	procaterol
BRD-K23922020	BRD-K23922020
BRD-K21936341	oxotremorine-sesquifumarate
BRD-K56104152	oxiconazole
BRD-K89152108	liothyronine
BRD-K83636919	entacapone
BRD-K91336023	mesulergine
BRD-K27721098	clopidogrel
BRD-A08255417	famprofazone
BRD-K34411947	streptozotocin
BRD-A04553218	BRD-A04553218
BRD-K43887077	dopamine
BRD-A22698335	plicamycin
LIVF001-011	LIVF001-011
BRD-K44353683	nateglinide
BRD-K38305202	domperidone
BRD-A39521712	BRD-A39521712
BRD-K65924316	serdemetan
BRD-A37441042	tulobuterol
BRD-K12437696	aztreonam
BRD-K10467831	tibolone
BRD-A04322457	isoprenaline
BRD-A31811760	miltefosine
BRD-K30649484	mafenide
BRD-K86882815	cabergoline
BRD-K07208025	trimethoprim
BRD-K49783248	decamethonium
BRD-A08545410	doxycycline
BRD-K32311154	nifekalant
BRD-K47827687	amprenavir
BRD-K83597974	pargyline
LIVF001-017	LIVF001-017
BRD-K13533483	cyclosporin-a
BRD-A62599490	CLINDAMYCIN-PO4
BRD-A55416093	colforsin
BRD-K93441486	diphemanil
BRD-A94810754	ionomycin
LIVF001-019	LIVF001-019
BRD-K76022557	BRD-K76022557
BRD-K15071410	tiotidine
LIVF001-020	CI-1040
LIVF001-029	LIVF001-029
BRD-A85667082	fulvestrant
BRD-K88090157	pimethixene
BRD-K05528470	L-745870
BRD-K62736196	guanaben-acetate
BRD-K16136146	levallorphan-tartrate
BRD-K81709173	halcinonide
BRD-K45497762	succinylcholine-chloride
BRD-K04412738	tramadol
BRD-A80908310	cloperastine
BRD-K41256143	dehydroepiandrosterone
BRD-K11742128	triprolidine
BRD-K67977190	eprosartan
BRD-K03981224	ethisterone
BRD-A75479906	rimantadine
BRD-A78877355	nefopam
BRD-K99338088	melengestrol
BRD-K51350053	toremifene
BRD-K41504921	BRD-K41504921
BRD-K50071428	abiraterone
BRD-K12567312	BRD-K12567312
BRD-K76011241	oseltamivir-phosphate
BRD-M08470251	pyrvinium
BRD-K46791647	stanozolol
BRD-K72222507	quinapril
BRD-K67536197	cyclocytidine
BRD-K98548675	parthenolide
BRD-K16195444	oxymetazoline
BRD-K42679315	BRD-K42679315
BRD-K88538023	oxiconazole
BRD-A68797623	BRD-A68797623
BRD-K14116214	sulfamonomethoxine
BRD-A86414188	ractopamine
BRD-K92428153	mycophenolate-mofetil
BRD-K10799896	clobetasol
BRD-K65639003	icariin
BRD-K71839241	canthaxanthin
BRD-K47635719	dexamethasone
BRD-K52020312	metronidazole
BRD-K14204120	ranitidine
BRD-K80305798	rifamycin-sv
BRD-K69253806	hexestrol
BRD-K96737756	BRD-K96737756
BRD-K35240538	methylprednisolone
BRD-K61452026	emtricitabine
BRD-K81672972	dinoprost
BRD-A43673346	clindamycin
LIVF001-007	LIVF001-007
BRD-A39172021	ampiroxicam
BRD-K99621550	tubocurarine
BRD-K56735750	carbadox
BRD-K40901640	cinanserin
BRD-A43671941	oxprenolol
BRD-K29392254	pantothenic-acid
BRD-A60274948	bromocriptine
BRD-K45330754	BRD-K45330754
BRD-K04218075	clomifene
BRD-A72483914	spiroxatrine
BRD-K50817623	pancuronium
BRD-K21350491	phenamil
BRD-K87827419	melphalan
BRD-K92167235	sodium-phenylacetate
BRD-K38989781	levocabastine-hcl
LIVF001-027	LIVF001-027
BRD-K81275354	naltriben-mesylate
BRD-K45995181	auranofin
BRD-K05977355	fluconazole
BRD-K82381502	acetylcholine
BRD-K54142781	cirazoline
BRD-K37792168	denbufylline
CMAP-T2DTUNICAMYCIN	CMAP-T2DTUNICAMYCIN
BRD-K49229349	vincristine
BRD-K79042054	octreotide
BRD-A50454580	PD-0325901
BRD-K59185421	BRD-K59185421
BRD-K69470111	montelukast
BRD-A07563059	bopindolol
BRD-K52459643	alprostadil
BRD-A55484088	BNTX
BRD-M66874015	quetiapine
BRD-K18416855	BRD-K18416855
BRD-K61717546	fleroxacin
BRD-K02265150	amoxapine
BRD-K01612348	meropenem
BRD-K98769987	flumazenil
BRD-K40624912	ZM-39923
BRD-A39415247	BRD-A39415247
BRD-A27290375	atropine
BRD-K33251802	miglustat
BRD-K03164761	thiazovivin
BRD-K32828673	chelidonine
BRD-K38580127	serotonin
BRD-K69280563	vinorelbine
BRD-K81169441	cerivastatin
BRD-K20168442	vecuronium
BRD-K78364995	cefotaxime
BRD-K34022604	clofarabine
BRD-K09757388	atazanavir
BRD-A26503646	formestane
BRD-K08412560	BRD-K08412560
BRD-K92441787	bexarotene
BRD-K39763435	pravastatin-lactone
BRD-K71221037	birinapant
BRD-K62391742	GDC-0199
BRD-A88080608	equilin
BRD-K64925568	AMG-232
BRD-K99451608	lopinavir
BRD-A82307304	atorvastatin
BRD-K89162000	tandutinib
BRD-K78659596	ixazomib
BRD-K44876623	zolpidem
BRD-K99023089	AZD-5363
BRD-A35869383	ibrutinib
BRD-K71926323	marbofloxacin
BRD-K41895714	AS-605240
BRD-K28360340	TW-37
BRD-A03506276	XL-888
BRD-A91452556	estradiol-cypionate
BRD-K22149900	ceritinib
BRD-K11267252	alectinib
BRD-K20285085	fostamatinib
BRD-K23478508	digoxin
BRD-K33226500	indinavir
BRD-K45724504	anguidine
BRD-K95309561	dienestrol
BRD-A06304526	alvespimycin
BRD-K44844162	taselisib
BRD-A93236127	digitoxin
BRD-K41213548	KW-2478
BRD-K43449605	oncrasin-1
BRD-K05804044	AZ-628
BRD-K77625799	vandetanib
BRD-A60070924	alpha-estradiol
BRD-A63646118	fumonisin-b1
BRD-K37340241	BRD-K37340241
BRD-K00766422	sparfosic-acid
BRD-K76703230	YM-155
BRD-K75615183	talipexole
BRD-K47690943	BRD-K47690943
BRD-K17140735	SCH-79797
BRD-U31801276	BRD-U31801276
BRD-A81936046	BRD-A81936046
BRD-K56477805	BRD-K56477805
BRD-K66874953	pifithrin-alpha
BRD-K80527266	triacsin-c
BRD-K19922318	BRD-K19922318
BRD-K09778810	FGIN-1-27
BRD-K95609758	BMS-191011
BRD-K08714182	sericetin
BRD-A63998256	helveticoside
BRD-A02367930	BRD-A02367930
BRD-K48427617	U-0124
BRD-K86191271	cytosporone-b
BRD-K90999434	CCT-031374
BRD-K28115298	BRD-K28115298
BRD-K16180117	BRD-K16180117
BRD-K54573313	BRD-K54573313
BRD-U01690642	BRD-U01690642
BRD-K14221570	benzopurpurin-4b
BRD-K51033547	tramadol
BRD-K10065684	dantron
BRD-A01346607	flumetasone
BRD-K96319534	phentermine
BRD-A31575449	CGP-20712
BRD-A13964793	TC-1
BRD-A08877921	cephalotaxine
BRD-A75402480	deoxycorticosterone-acetate
BRD-K35629949	SR-27897
BRD-K63430059	methoxsalen
BRD-K64642496	KO-143
BRD-K53414658	tivozanib
BRD-A12083771	BRD-A12083771
BRD-K54687541	BRD-K54687541
BRD-K66686673	BRD-K66686673
BRD-K12579869	BRD-K12579869
BRD-K85237725	BRD-K85237725
BRD-K12393722	BRD-K12393722
BRD-A18411371	BRD-A18411371
BRD-K25310650	ormetoprim
BRD-K88304388	dextrorphan
BRD-K23383398	T-0901317
BRD-A03816571	CP-55940
BRD-K10870738	CDC
BRD-K78867378	MW-A1-12
BRD-K08451418	BRD-K08451418
BRD-K38985961	T-5345967
BRD-K99818283	PIK-90
BRD-K35723520	darinaparsin
BRD-K69181860	ARG-CSC-91
BRD-K59597909	phenothiazine
BRD-K76188144	BRD-K76188144
BRD-K73238422	BRD-K73238422
BRD-U44700465	HG-5-88-01
BRD-A83402799	BRD-A83402799
BRD-A43087975	BRD-A43087975
BRD-K53214709	BRD-K53214709
BRD-K61323504	SB-225002
BRD-K83213911	PF-750
BRD-K52904470	BRD-K52904470
BRD-A77216878	manumycin-a
BRD-K33272502	DG-041
BRD-K57011718	UK-356618
BRD-K63712590	BRD-K63712590
BRD-K56489029	BRD-K56489029
BRD-K94304934	BRD-K94304934
BRD-K68437527	EMF-BCA1-60
BRD-K71140693	BRD-K71140693
BRD-K24461445	BRD-K24461445
BRD-K37393297	BRD-K37393297
BRD-K33392208	BRD-K33392208
BRD-K06020002	BRD-K06020002
BRD-K46137903	prednicarbate
BRD-A68929948	DAPT-GSI-IX
BRD-K63945320	dihydrosamidin
BRD-K03842655	penitrem-a
BRD-K56450366	NSC-94258
BRD-K18794550	SA-423167
BRD-K85592362	BRD-K85592362
BRD-K93188295	ARC-239
BRD-K89687904	PKCbeta-inhibitor
BRD-K60219430	serdemetan
BRD-A47816767	BRD-A47816767
BRD-K81751891	BRD-K81751891
BRD-K14696368	BRD-K14696368
BRD-K30064966	BRD-K30064966
BRD-K45401373	betulinic-acid
BRD-A70407468	PSB-36
BRD-A48809242	IB-MECA
BRD-A10969569	ambelline
BRD-K87947369	tozasertib
BRD-K99696746	fatostatin
BRD-K40892394	AR-C133057XX
BRD-K63770300	BRD-K63770300
BRD-K03954795	BRD-K03954795
BRD-A41630653	BRD-A41630653
BRD-A76490030	K784-3131
BRD-K92895207	FU-JMBII227B
BRD-K45158365	valsartan
BRD-K01400178	ST-209453
BRD-U25771771	WZ-4-145
BRD-A89175223	bisoprolol
BRD-K68620903	dydrogesterone
BRD-K52721684	PCO-400
BRD-K40990712	hexamethyleneamiloride
BRD-K31477169	BRD-K31477169
BRD-K60274257	dephostatin
BRD-K84924563	BRD-K84924563
BRD-A05874290	DL-TBOA
BRD-K35716340	BRD-K35716340
BRD-K84855138	BRD-K84855138
BRD-K70917163	BRD-K70917163
BRD-K70251741	KU-C104142
BRD-K68756823	FR-180204
BRD-K59036917	ML-161
BRD-K62493605	JAS07-009
BRD-K94832621	Y-134
BRD-A58280226	Y-27632
BRD-K00088062	cyanoquinoline-11
BRD-U94846492	quinine
BRD-K28100108	BRD-K28100108
BRD-K26664453	BRD-K26664453
BRD-K92301463	BRD-K92301463
BRD-A83255679	BRD-A83255679
BRD-K45446451	JZL-184
BRD-K19277754	paroxetine
BRD-K18163752	BRD-K18163752
BRD-K70281171	U-99194
BRD-A41451487	PK-11195
BRD-K30779094	BRD-K30779094
BRD-K77547920	BRD-K77547920
BRD-K89839824	raltitrexed
BRD-K59794046	BRD-K59794046
BRD-K94580036	BRD-K94580036
BRD-K17830172	BRD-K17830172
BRD-K65050353	BRD-K65050353
BRD-K03644760	MW-A1-6
BRD-K32896438	BRD-K32896438
BRD-K53566850	BRD-K53566850
BRD-K98404142	BRD-K98404142
BRD-A75817871	blebbistatin
BRD-A03323675	ritonavir
BRD-K09900591	caffeic-acid
BRD-K47679368	bromfenac
BRD-K59019422	BRD-K59019422
BRD-K06593056	LE-135
BRD-K09549677	mibefradil
BRD-A76528577	vincristine
BRD-K82561139	ricinine
BRD-K98297262	BRD-K98297262
BRD-A48257147	PHCCC
BRD-K48059230	YM-298198
BRD-K80639402	SB-258585
BRD-A10903566	imiloxan
BRD-A15070535	bucladesine
BRD-K51476772	ST-638
BRD-K63181962	BRD-K63181962
BRD-K22988559	BRD-K22988559
BRD-K75903201	BRD-K75903201
BRD-K41797142	BRD-K41797142
BRD-A68820570	BRD-A68820570
BRD-K83194053	BRD-K83194053
BRD-K66438357	BRD-K66438357
BRD-K59139557	BRD-K59139557
BRD-K36767861	BRD-K36767861
BRD-A61858259	CAY-10415
BRD-A88029023	BRD-A88029023
BRD-K42834456	ST-012015
BRD-A73847809	BRD-A73847809
BRD-K62459624	BRD-K62459624
BRD-K30993697	BRD-K30993697
