pert_id	cmap_name
BRD-K35010406	BG-1005
BRD-K06388322	pramipexole
BRD-K53857191	risperidone
BRD-A19585813	methylphenidate
BRD-K29582115	ziprasidone
BRD-K69932463	AZD-8055
BRD-K42840900	17-AAG
BRD-K93460210	lamotrigine
BRD-K21283037	riluzole
BRD-K17743125	belinostat
BRD-K71823332	epothilone-a
BRD-K54997624	alpelisib
BRD-K14821965	propidium
BRD-K52405437	penitrem-a
BRD-A48430263	pioglitazone
BRD-K10995081	perphenazine
BRD-K54283240	cefixime
BRD-A31159102	fluoxetine
BRD-K71350836	butalbital
BRD-K69885235	MW-STK33-100
BRD-A20958854	dopamine
BRD-U37487928	GGTI-2133
BRD-A40807648	SIB-1508Y
BRD-M68558198	BRD-M68558198
BRD-K20697946	diarylsulfonesulfonamide
BRD-A20348246	chlormezanone
BRD-K88429204	pyrimethamine
BRD-K43457670	acetazolamide
BRD-K21401044	danazol
BRD-A84282119	rimantadine
BRD-K48470486	cefmetazole
BRD-K47150025	KI-8751
BRD-K80045183	BRD-K80045183
BRD-K03073752	TUL_XIX003
BRD-K58443469	ST-059620
BRD-K46937689	phenazone
BRD-K55149044	BRD-K55149044
BRD-K83694683	BRD-K83694683
BRD-K66383562	BRD-K66383562
BRD-K75418563	BRD-K75418563
BRD-K80015639	ST-057710
BRD-K41868777	W-5
BRD-K08525451	sarafloxacin
BRD-K32581454	BRD-K32581454
BRD-K04466929	Merck60
BRD-K03763695	TUL_XIX002
BRD-K48188942	ML-281
BRD-K12762134	XAV-939
BRD-K24656285	farnesol
BRD-K65997856	BRD-K65997856
BRD-K67265981	carnosol
BRD-K32107296	temozolomide
BRD-K09069264	BRD-K09069264
BRD-K93971872	SA-84902
BRD-K16535949	BRD-K16535949
BRD-K57200229	SD-6-035-B3
BRD-K98471960	BRD-K98471960
BRD-K87838848	BRD-K87838848
BRD-K03618428	PP-110
BRD-K24844714	fluorouracil
BRD-K08115555	BRD-K08115555
BRD-A65771317	BRD-A65771317
BRD-K31344914	BRD-K31344914
BRD-K93425199	BRD-K93425199
BRD-K50511260	BRD-K50511260
BRD-K57090026	I-CBP112
BRD-K51575138	TPCA-1
BRD-K93937110	BRD-K93937110
BRD-A00546892	biperiden
BRD-K04051656	BRD-K04051656
BRD-A29485665	bicalutamide
BRD-A22101059	metrifonate
BRD-K16752617	BRD-K16752617
BRD-K23319301	BRD-K23319301
BRD-K49669601	BRD-K49669601
BRD-K31175437	BRD-K31175437
BRD-K62919978	BRD-K62919978
BRD-K97318829	BRD-K97318829
BRD-K63383460	BRD-K63383460
BRD-K65657366	BRD-K65657366
BRD-K14352739	BRD-K14352739
BRD-K37879871	BRD-K37879871
BRD-K69040870	BRD-K69040870
BRD-K62310379	fluticasone-propionate
BRD-K06750613	GSK-1059615
BRD-A41316391	BRD-A41316391
BRD-K35305708	isosilybin-b
BRD-K83229621	noretynodrel
BRD-K01543453	BRD-K01543453
BRD-A34255068	rolipram
BRD-A26030894	BRD-A26030894
BRD-K94649603	taxifolin
BRD-K43187018	GDC-0349
BRD-K91623615	ABT-751
BRD-K19761926	eplerenone
BRD-K43571060	IQ1
BRD-K26925640	BML-286
CMAP-C110765	kcl
BRD-A13946108	sulindac
BRD-K42624714	BML-284
BRD-K62810658	PD-98059
BRD-K30816563	ranitidine
BRD-A25234499	aminoglutethimide
BRD-A72988804	tiaprofenic-acid
BRD-M61872305	mephentermine
BRD-K38323065	phenacetin
BRD-A99117172	hydroxychloroquine
BRD-K35832492	BRD-K35832492
BRD-K10436544	BRD-K10436544
BRD-M28563253	BRD-M28563253
BRD-U63562434	LBH-589
BRD-K76723084	isotretinoin
BRD-K37312348	kenpaullone
BRD-K26117720	gingerol
BRD-K47192521	icosapent
BRD-K97061094	azacyclonol
BRD-K79425933	benperidol
BRD-K26104851	nifuroxazide
BRD-K68866125	BRD-K68866125
BRD-A95696066	nisoxetine
BRD-A37828317	anthothecol
BRD-K03652504	BRD-K03652504
BRD-K13183738	pentamidine
BRD-K43405658	BRD-K43405658
BRD-K22134346	simvastatin
BRD-K18850819	MK-0752
BRD-K07442505	BAM-7
BRD-K38720323	BRD-K38720323
BRD-K22503835	scriptaid
BRD-A77144340	ketocholesterol
BRD-K37606513	isonicotinamide
BRD-K41179159	BG-1006
BRD-K95986273	MW-MITF24
GALR1_GALANIN	GALR1_GALANIN
BRD-K79404599	enzastaurin
KISS1R_ALARIN	KISS1R_ALARIN
BRD-K00317371	RITA
BRD-K16761703	sotrastaurin
BRD-K16478699	PLX-4720
BRD-K86118762	linsitinib
BRD-K02764365	methiazole
BRD-K64052750	gefitinib
LACZ_FBS	LACZ_FBS
GALR1_FBS	GALR1_FBS
BRD-A69563582	BRD-A69563582
BRD-K07691486	roscovitine
BRD-K56851771	enzalutamide
BRD-K67439147	SIB-1893
BRD-K36363294	I-BET-151
